phenomenon,condition,framing,js_divergence,js_distance,kl_rsa_llm,kl_llm_rsa,spearman_rho,spearman_p
scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835
scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835
scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835
scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",third_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",second_person,0.1323,0.3637,7.0388,0.4055,0.866,0.3333
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",first_person,0.1323,0.3637,7.0388,0.4055,0.866,0.3333
scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",third_person,0.1323,0.3637,7.0388,0.4055,0.866,0.3333
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.0678,0.2603,0.3103,0.2535,0.9428,0.0572
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.2158,0.4645,10.8198,0.6931,0.5774,0.4226
scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.2158,0.4645,10.8198,0.6931,0.5774,0.4226
polite_speech,state_1,second_person,0.3562,0.5969,15.1163,1.2752,0.1333,0.753
polite_speech,state_1,first_person,0.3593,0.5995,15.2083,1.2843,0.4149,0.3068
polite_speech,state_1,third_person,0.312,0.5585,10.1502,1.831,-0.0957,0.8217
polite_speech,state_2,second_person,0.5797,0.7614,19.4749,4.8003,-0.0078,0.9853
polite_speech,state_2,first_person,0.5044,0.7102,19.3019,2.2329,0.1333,0.753
polite_speech,state_2,third_person,0.4929,0.702,5.2486,4.2036,0.2881,0.4889
polite_speech,state_3,second_person,0.0938,0.3062,3.3326,0.3198,0.7527,0.0312
polite_speech,state_3,first_person,0.2629,0.5127,12.2587,0.8709,0.4978,0.2093
polite_speech,state_3,third_person,0.1676,0.4093,3.7125,0.5921,0.7527,0.0312
polite_speech,state_4,second_person,0.1566,0.3957,7.7989,0.4861,0.5808,0.1311
polite_speech,state_4,first_person,0.1566,0.3957,7.7989,0.4861,0.5808,0.1311
polite_speech,state_4,third_person,0.1566,0.3957,7.7989,0.4861,0.5808,0.1311
polite_speech,state_5,second_person,0.0891,0.2985,4.6107,0.2673,0.5808,0.1311
polite_speech,state_5,first_person,0.0891,0.2985,4.6107,0.2673,0.5808,0.1311
polite_speech,state_5,third_person,0.0891,0.2985,4.6107,0.2673,0.5808,0.1311
