omega_i,alpha,mean_js
0.0,1.0,0.43065127685501936
0.0,3.0,0.4768833592324606
0.0,5.0,0.516218933286359
0.1,1.0,0.40668872487242685
0.1,3.0,0.41595847474609066
0.1,5.0,0.4303581615085894
0.2,1.0,0.38288112572670097
0.2,3.0,0.3628406952764477
0.2,5.0,0.34682454435421245
0.3,1.0,0.36078790425674295
0.3,3.0,0.32279545068676263
0.3,5.0,0.3132981398518084
0.4,1.0,0.3429220574491904
0.4,3.0,0.2791557336013783
0.4,5.0,0.26789876914155325
0.5,1.0,0.33169844530742515
0.5,3.0,0.257723146817761
0.5,5.0,0.23581297729301146
0.6,1.0,0.327575188295891
0.6,3.0,0.26180910408096375
0.6,5.0,0.2475689606791701
0.7,1.0,0.3288514320761476
0.7,3.0,0.27233548177235195
0.7,5.0,0.26022495241286
0.8,1.0,0.3332896957842928
0.8,3.0,0.2858584782917713
0.8,5.0,0.27438191682227747
0.9,1.0,0.3393260178388805
0.9,3.0,0.30195523786746387
0.9,5.0,0.29260043194793156
1.0,1.0,0.3461758754675638
1.0,3.0,0.32028526437151555
1.0,5.0,0.3158337588781645
