omega_i,alpha,mean_js
0.0,1.0,0.4191689242294467
0.0,3.0,0.47163352587255836
0.0,5.0,0.5146681158603493
0.1,1.0,0.39477732017378536
0.1,3.0,0.4105141005816159
0.1,5.0,0.4285773889135816
0.2,1.0,0.37060040307928527
0.2,3.0,0.35709603517579924
0.2,5.0,0.34471564326157095
0.3,1.0,0.3484420898816766
0.3,3.0,0.31624310370620023
0.3,5.0,0.31089760181904785
0.4,1.0,0.33104320901550255
0.4,3.0,0.2720351777533182
0.4,5.0,0.263869241162312
0.5,1.0,0.3207821548314903
0.5,3.0,0.2514460091706067
0.5,5.0,0.23099149267921357
0.6,1.0,0.3177820271396474
0.6,3.0,0.25523972578971865
0.6,5.0,0.24138416545381045
0.7,1.0,0.31999216460921104
0.7,3.0,0.2651984181155245
0.7,5.0,0.25354779939101013
0.8,1.0,0.32503509297570937
0.8,3.0,0.27849818818352173
0.8,5.0,0.26815223309393316
0.9,1.0,0.3313869385101311
0.9,3.0,0.2947706779844813
0.9,5.0,0.2873604725326626
1.0,1.0,0.3383649683453818
1.0,3.0,0.31358588878751603
1.0,5.0,0.31172088876743836
