model,phenomenon,condition,framing,js_divergence,js_distance,kl_rsa_llm,kl_llm_rsa,spearman_rho,spearman_p,n_matched,js_boot_mean,js_ci_low,js_ci_high,js_boot_std,llm_ci_low,llm_ci_high
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835,25,0.1323,0.1323,0.1323,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.0335,0.183,0.1555,0.1217,1.0,0.0,25,0.0418,0.0024,0.1323,0.0287,"[np.float64(0.0), np.float64(0.0), np.float64(0.72), np.float64(0.0)]","[np.float64(0.0), np.float64(0.28), np.float64(1.0), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835,25,0.1323,0.1323,0.1323,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.1323,0.3637,7.0388,0.4055,0.8165,0.1835,25,0.1323,0.1323,0.1323,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.0791,0.2813,0.4637,0.2652,1.0,0.0,25,0.0889,0.0335,0.1323,0.0352,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.88)]","[np.float64(0.12), np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",third_person,0.0791,0.2813,0.4637,0.2652,1.0,0.0,25,0.0887,0.0335,0.1323,0.0352,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.88)]","[np.float64(0.12), np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",second_person,0.1323,0.3637,7.0388,0.4055,0.866,0.3333,25,0.1323,0.1323,0.1323,0.0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]","[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",first_person,0.0519,0.2277,0.261,0.1821,1.0,0.0,25,0.0625,0.0115,0.1323,0.0348,"[np.float64(0.8), np.float64(0.0), np.float64(0.0)]","[np.float64(1.0), np.float64(0.0), np.float64(0.2)]"
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",third_person,0.1323,0.3637,7.0388,0.4055,0.866,0.3333,25,0.1323,0.1323,0.1323,0.0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]","[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",second_person,0.2158,0.4645,10.8198,0.6931,0.5774,0.4226,25,0.2158,0.2158,0.2158,0.0,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",first_person,0.0257,0.1603,0.1076,0.1002,0.9428,0.0572,25,0.0317,0.0002,0.0891,0.0253,"[np.float64(0.52), np.float64(0.12), np.float64(0.0), np.float64(0.0)]","[np.float64(0.88), np.float64(0.48), np.float64(0.0), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 4 (target=blue_square, skewed prior)",third_person,0.0368,0.1919,0.1576,0.1421,0.9428,0.0572,25,0.0442,0.0051,0.1162,0.0289,"[np.float64(0.6), np.float64(0.08), np.float64(0.0), np.float64(0.0)]","[np.float64(0.92), np.float64(0.4), np.float64(0.0), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,polite_speech,state_1,second_person,0.6624,0.8139,21.3211,4.6779,-0.809,0.015,25,0.6633,0.661,0.6728,0.0025,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.6), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.24), np.float64(0.0), np.float64(0.0), np.float64(0.24), np.float64(0.92), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,polite_speech,state_1,first_person,0.3705,0.6087,15.2095,1.5332,-0.0314,0.9412,25,0.3712,0.3593,0.3937,0.0085,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.72)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.28), np.float64(0.0), np.float64(1.0)]"
deepseek-ai/DeepSeek-V3.1,polite_speech,state_1,third_person,0.3593,0.5995,15.2083,1.2843,0.4149,0.3068,25,0.3593,0.3593,0.3593,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
deepseek-ai/DeepSeek-V3.1,polite_speech,state_2,second_person,0.6794,0.8243,21.9893,5.6554,-0.5018,0.2052,25,0.6796,0.6789,0.6808,0.0008,"[np.float64(0.0), np.float64(0.0), np.float64(0.68), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.04), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.96), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.32), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,polite_speech,state_2,first_person,0.5092,0.7136,19.3121,2.4172,0.1333,0.753,25,0.5097,0.5024,0.5209,0.0052,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.08), np.float64(0.64)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.36), np.float64(0.92)]"
deepseek-ai/DeepSeek-V3.1,polite_speech,state_2,third_person,0.426,0.6527,4.4205,3.8958,-0.0383,0.9283,25,0.4412,0.3149,0.6006,0.0696,"[np.float64(0.0), np.float64(0.0), np.float64(0.12), np.float64(0.0), np.float64(0.0), np.float64(0.04), np.float64(0.32), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.48), np.float64(0.0), np.float64(0.0), np.float64(0.32), np.float64(0.72), np.float64(0.12)]"
deepseek-ai/DeepSeek-V3.1,polite_speech,state_3,second_person,0.1676,0.4093,3.7125,0.5921,0.7527,0.0312,25,0.1758,0.1065,0.2629,0.0429,"[np.float64(0.0), np.float64(0.0), np.float64(0.8), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.2), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,polite_speech,state_3,first_person,0.2021,0.4495,3.9848,0.7029,0.7527,0.0312,25,0.2128,0.1421,0.2629,0.0414,"[np.float64(0.0), np.float64(0.0), np.float64(0.88), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.12), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,polite_speech,state_3,third_person,0.2629,0.5127,12.2587,0.8709,0.4978,0.2093,25,0.2629,0.2629,0.2629,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,polite_speech,state_4,second_person,0.1566,0.3957,7.7989,0.4861,0.5808,0.1311,25,0.1566,0.1566,0.1566,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,polite_speech,state_4,first_person,0.1566,0.3957,7.7989,0.4861,0.5808,0.1311,25,0.1566,0.1566,0.1566,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,polite_speech,state_4,third_person,0.0588,0.2426,1.2265,0.2007,0.8644,0.0056,25,0.0768,0.0295,0.1566,0.0315,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.72), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.12), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.2), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,polite_speech,state_5,second_person,0.0891,0.2985,4.6107,0.2673,0.5808,0.1311,25,0.0891,0.0891,0.0891,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
deepseek-ai/DeepSeek-V3.1,polite_speech,state_5,first_person,0.0891,0.2985,4.6107,0.2673,0.5808,0.1311,25,0.0891,0.0891,0.0891,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
