model,phenomenon,condition,framing,subsample_fraction,subsample_n,full_sample_n,full_sample_js,js_subsample_mean,js_subsample_std,js_subsample_ci_low,js_subsample_ci_high,js_delta_mean_abs,js_delta_max_abs
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.5,12,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.7,18,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.9,22,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.5,12,25,0.03349758092348207,0.04297519903816803,0.03631005748957765,0.004212595048775818,0.13230412358982496,0.026566893874024763,0.0988065426663429
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.7,18,25,0.03349758092348207,0.036751512027581285,0.020184726882515536,0.01879745603148457,0.06706699574480635,0.013397017279577497,0.0988065426663429
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.9,22,25,0.03349758092348207,0.034671191118916096,0.011281203121483759,0.02765813349116293,0.07463219250379986,0.008986790859877043,0.0988065426663429
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.5,12,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.7,18,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.9,22,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.5,12,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.7,18,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.9,22,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.5,12,25,0.07912417772238418,0.09315829966814164,0.041092717387842086,0.050064997703935556,0.13230412358982496,0.041698461323320515,0.05317994586744078
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.7,18,25,0.07912417772238418,0.08428959749589125,0.02877086762693996,0.06706699574480635,0.13230412358982496,0.02291359164450165,0.05317994586744078
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.9,22,25,0.07912417772238418,0.08178351195846696,0.019017115541125486,0.07463219250379986,0.13230412358982496,0.010529292339042522,0.05317994586744078
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",third_person,0.5,12,25,0.07912417772238418,0.09422740830465819,0.04102734182868632,0.050064997703935556,0.13230412358982496,0.04201203127935742,0.05317994586744078
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",third_person,0.7,18,25,0.07912417772238418,0.08468102026296136,0.02897713208400409,0.06706699574480635,0.13230412358982496,0.02316032822784083,0.05317994586744078
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",third_person,0.9,22,25,0.07912417772238418,0.081898855820639,0.01914796999759577,0.07463219250379986,0.13230412358982496,0.010626668260340234,0.05317994586744078
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",second_person,0.5,12,25,0.1323041236015871,0.13230412360158714,2.77694638204588e-17,0.1323041236015871,0.1323041236015871,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,"Scene 3 (two-object, target=red_square, unique=red)",second_person,0.7,18,25,0.1323041236015871,0.13230412360158714,2.77694638204588e-17,0.1323041236015871,0.1323041236015871,0.0,0.0
