,,,,full_sample_js,full_sample_js,js_subsample_mean,js_subsample_mean,js_subsample_std,js_subsample_std,js_delta_mean_abs,js_delta_mean_abs,js_delta_max_abs,js_delta_max_abs
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
model,phenomenon,framing,subsample_fraction,,,,,,,,,,
deepseek-ai/DeepSeek-V3.1,polite_speech,first_person,0.5,0.2655,0.1713,0.2683,0.1705,0.0125,0.0207,0.0121,0.0209,0.0192,0.0249
deepseek-ai/DeepSeek-V3.1,polite_speech,first_person,0.7,0.2655,0.1713,0.267,0.1708,0.0085,0.0146,0.007,0.012,0.016,0.0255
deepseek-ai/DeepSeek-V3.1,polite_speech,first_person,0.9,0.2655,0.1713,0.2663,0.1711,0.0055,0.0097,0.0035,0.0055,0.0152,0.0258
deepseek-ai/DeepSeek-V3.1,polite_speech,second_person,0.5,0.351,0.2936,0.354,0.2922,0.0114,0.0227,0.0079,0.016,0.0231,0.0408
deepseek-ai/DeepSeek-V3.1,polite_speech,second_person,0.7,0.351,0.2936,0.3521,0.293,0.0066,0.0137,0.0052,0.0111,0.0223,0.041
deepseek-ai/DeepSeek-V3.1,polite_speech,second_person,0.9,0.351,0.2936,0.3513,0.2934,0.0037,0.0078,0.0028,0.0058,0.02,0.0421
deepseek-ai/DeepSeek-V3.1,polite_speech,third_person,0.5,0.2299,0.1737,0.2408,0.1751,0.0267,0.0335,0.0234,0.029,0.0873,0.1036
deepseek-ai/DeepSeek-V3.1,polite_speech,third_person,0.7,0.2299,0.1737,0.2334,0.1732,0.0163,0.0203,0.0126,0.0159,0.0745,0.1075
deepseek-ai/DeepSeek-V3.1,polite_speech,third_person,0.9,0.2299,0.1737,0.2318,0.1739,0.0101,0.0125,0.0082,0.0107,0.0364,0.0509
deepseek-ai/DeepSeek-V3.1,scalar_implicature,first_person,0.5,0.0475,0.0237,0.0576,0.0266,0.0365,0.0059,0.0289,0.009,0.1056,0.0593
deepseek-ai/DeepSeek-V3.1,scalar_implicature,first_person,0.7,0.0475,0.0237,0.0511,0.0252,0.022,0.0061,0.0165,0.0056,0.0753,0.0192
deepseek-ai/DeepSeek-V3.1,scalar_implicature,first_person,0.9,0.0475,0.0237,0.0488,0.0247,0.0133,0.0044,0.009,0.0016,0.0662,0.0294
deepseek-ai/DeepSeek-V3.1,scalar_implicature,second_person,0.5,0.1532,0.0417,0.1532,0.0417,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,second_person,0.7,0.1532,0.0417,0.1532,0.0417,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,second_person,0.9,0.1532,0.0417,0.1532,0.0417,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-ai/DeepSeek-V3.1,scalar_implicature,third_person,0.5,0.0951,0.0463,0.1012,0.0409,0.0199,0.023,0.0169,0.0206,0.058,0.0844
deepseek-ai/DeepSeek-V3.1,scalar_implicature,third_person,0.7,0.0951,0.0463,0.0972,0.0445,0.0118,0.0143,0.0094,0.0114,0.0383,0.0482
deepseek-ai/DeepSeek-V3.1,scalar_implicature,third_person,0.9,0.0951,0.0463,0.0961,0.0455,0.0075,0.0093,0.0049,0.0057,0.024,0.0281
