omega_i,alpha,mean_js
0.0,1.0,0.3960114049817877
0.0,3.0,0.4573282939424285
0.0,5.0,0.5114108236886882
0.1,1.0,0.37700847933006487
0.1,3.0,0.3972529790657288
0.1,5.0,0.4264685323422174
0.2,1.0,0.3602467709054664
0.2,3.0,0.3463613182301021
0.2,5.0,0.344621723468042
0.3,1.0,0.34715092611794
0.3,3.0,0.31451054257910155
0.3,5.0,0.3111182920537778
0.4,1.0,0.33934890843580834
0.4,3.0,0.28971786548602846
0.4,5.0,0.2812441319150871
0.5,1.0,0.33777990416247355
0.5,3.0,0.2821376724599602
0.5,5.0,0.2629193295045461
0.6,1.0,0.3415507063443765
0.6,3.0,0.28933798107855474
0.6,5.0,0.2740413920525445
0.7,1.0,0.3483853358520782
0.7,3.0,0.2997163950770441
0.7,5.0,0.2858969665212394
0.8,1.0,0.3562333236273733
0.8,3.0,0.31199287083458177
0.8,5.0,0.2990630505787978
0.9,1.0,0.36405161952844334
0.9,3.0,0.32614757116637233
0.9,5.0,0.31526826248188455
1.0,1.0,0.37157036808686145
1.0,3.0,0.342003013067379
1.0,5.0,0.33528862744180904
