,,,full_sample_js,full_sample_js,js_subsample_mean,js_subsample_mean,js_subsample_std,js_subsample_std,js_delta_mean_abs,js_delta_mean_abs,js_delta_max_abs,js_delta_max_abs
,,,mean,std,mean,std,mean,std,mean,std,mean,std
phenomenon,framing,subsample_fraction,,,,,,,,,,
polite_speech,first_person,0.5,0.2616,0.1431,0.2647,0.1478,0.0135,0.0284,0.0134,0.0282,0.0201,0.0422
polite_speech,first_person,0.7,0.2616,0.1431,0.2626,0.1445,0.0085,0.0183,0.0069,0.0145,0.0174,0.0379
polite_speech,first_person,0.9,0.2616,0.1431,0.2623,0.1442,0.0056,0.0123,0.0032,0.0069,0.0161,0.0352
polite_speech,second_person,0.5,0.3515,0.2943,0.3551,0.2938,0.0115,0.0227,0.0085,0.0157,0.0215,0.0415
polite_speech,second_person,0.7,0.3515,0.2943,0.3532,0.2941,0.0073,0.014,0.0059,0.0112,0.0215,0.0415
polite_speech,second_person,0.9,0.3515,0.2943,0.3517,0.2947,0.0035,0.0064,0.0027,0.0052,0.0081,0.0127
polite_speech,third_person,0.5,0.2845,0.2167,0.2894,0.2188,0.018,0.0279,0.0168,0.028,0.037,0.0368
polite_speech,third_person,0.7,0.2845,0.2167,0.2874,0.22,0.0111,0.0198,0.0094,0.0168,0.0212,0.0329
polite_speech,third_person,0.9,0.2845,0.2167,0.2855,0.2178,0.0067,0.0124,0.0042,0.0072,0.0194,0.0335
scalar_implicature,first_person,0.5,0.0812,0.0386,0.0884,0.0343,0.0316,0.0212,0.0246,0.0176,0.0775,0.068
scalar_implicature,first_person,0.7,0.0812,0.0386,0.0846,0.0378,0.0194,0.0139,0.0154,0.0109,0.0756,0.0685
scalar_implicature,first_person,0.9,0.0812,0.0386,0.0818,0.0383,0.0109,0.0076,0.0074,0.005,0.048,0.0341
scalar_implicature,second_person,0.5,0.1082,0.0383,0.1137,0.0326,0.0245,0.0286,0.0174,0.0202,0.045,0.0525
scalar_implicature,second_person,0.7,0.1082,0.0383,0.1097,0.037,0.0145,0.0169,0.0114,0.0135,0.045,0.0525
scalar_implicature,second_person,0.9,0.1082,0.0383,0.1093,0.0379,0.0085,0.0101,0.0063,0.0075,0.045,0.0525
scalar_implicature,third_person,0.5,0.1082,0.0281,0.1138,0.0215,0.0228,0.0266,0.0202,0.0233,0.045,0.06
scalar_implicature,third_person,0.7,0.1082,0.0281,0.1102,0.0257,0.0142,0.0165,0.0109,0.0126,0.045,0.06
scalar_implicature,third_person,0.9,0.1082,0.0281,0.1084,0.0278,0.008,0.0093,0.0055,0.0066,0.0278,0.0321
