model,phenomenon,condition,framing,subsample_fraction,subsample_n,full_sample_n,full_sample_js,js_subsample_mean,js_subsample_std,js_subsample_ci_low,js_subsample_ci_high,js_delta_mean_abs,js_delta_max_abs
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.5,12,25,0.07912417772238418,0.09291158229048396,0.0411038365391791,0.05006499770393556,0.13230412358982496,0.04162609902577355,0.05317994586744078
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.7,18,25,0.07912417772238418,0.08455054600727133,0.028909130247878202,0.06706699574480635,0.13230412358982496,0.023078082700061103,0.05317994586744078
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",second_person,0.9,22,25,0.07912417772238418,0.0809761049232626,0.01805398575070635,0.07463219250379986,0.13230412358982496,0.009847660889958532,0.05317994586744078
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.5,12,25,0.14268413371026428,0.14280355006212747,0.010999539087028502,0.13230412358982496,0.15431549984203144,0.010976906937842697,0.011631366131767157
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.7,18,25,0.14268413371026428,0.14305433604402287,0.006358798763998962,0.13230412358982496,0.1468118327048019,0.005747047576146149,0.01038001012043932
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",first_person,0.9,22,25,0.14268413371026428,0.14268334421767243,0.00387092410985374,0.13230412358982496,0.14412555938463986,0.002531932976795356,0.01038001012043932
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.5,12,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.7,18,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 1 (target=red_square, unique=red)",third_person,0.9,22,25,0.13230412358982496,0.132304123589825,2.77694638204588e-17,0.13230412358982496,0.13230412358982496,0.0,0.0
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.5,12,25,0.07912417772238418,0.0950497995635171,0.040957977741543646,0.050064997703935556,0.13230412358982496,0.04225323893784734,0.05317994586744078
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.7,18,25,0.07912417772238418,0.08363722621744107,0.028411774579973806,0.06706699574480635,0.13230412358982496,0.022502364005603022,0.05317994586744078
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",second_person,0.9,22,25,0.07912417772238418,0.08230255933824118,0.019593729975680884,0.07463219250379986,0.13230412358982496,0.010967483984882228,0.05317994586744078
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.5,12,25,0.07912417772238418,0.09315829966814164,0.041092717387842086,0.050064997703935556,0.13230412358982496,0.041698461323320515,0.05317994586744078
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.7,18,25,0.07912417772238418,0.08428959749589125,0.02877086762693996,0.06706699574480635,0.13230412358982496,0.02291359164450165,0.05317994586744078
meta-llama/Llama-3.1-70B,scalar_implicature,"Scene 2 (target=blue_circle, unique=circle)",first_person,0.9,22,25,0.07912417772238418,0.08178351195846696,0.019017115541125486,0.07463219250379986,0.13230412358982496,0.010529292339042522,0.05317994586744078
