,,,,full_sample_js,full_sample_js,js_subsample_mean,js_subsample_mean,js_subsample_std,js_subsample_std,js_delta_mean_abs,js_delta_mean_abs,js_delta_max_abs,js_delta_max_abs
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
model,phenomenon,framing,subsample_fraction,,,,,,,,,,
meta-llama/Llama-3.1-70B,polite_speech,first_person,0.5,0.275,0.1642,0.2756,0.1651,0.0013,0.0027,0.0013,0.002,0.0027,0.0049
meta-llama/Llama-3.1-70B,polite_speech,first_person,0.7,0.275,0.1642,0.2753,0.1646,0.0009,0.0016,0.0009,0.0016,0.0016,0.0027
meta-llama/Llama-3.1-70B,polite_speech,first_person,0.9,0.275,0.1642,0.2751,0.1644,0.0006,0.0009,0.0005,0.0008,0.0016,0.0027
meta-llama/Llama-3.1-70B,polite_speech,second_person,0.5,0.3463,0.274,0.3521,0.2753,0.0197,0.0264,0.0198,0.0269,0.0278,0.0356
meta-llama/Llama-3.1-70B,polite_speech,second_person,0.7,0.3463,0.274,0.3492,0.2747,0.0138,0.0187,0.0114,0.0154,0.0256,0.0323
meta-llama/Llama-3.1-70B,polite_speech,second_person,0.9,0.3463,0.274,0.3472,0.2743,0.0086,0.0117,0.0049,0.0066,0.0244,0.0329
meta-llama/Llama-3.1-70B,polite_speech,third_person,0.5,0.2651,0.2013,0.2763,0.2041,0.0399,0.0239,0.0342,0.0179,0.0795,0.0354
meta-llama/Llama-3.1-70B,polite_speech,third_person,0.7,0.2651,0.2013,0.269,0.2013,0.0251,0.014,0.0206,0.0118,0.0625,0.0392
meta-llama/Llama-3.1-70B,polite_speech,third_person,0.9,0.2651,0.2013,0.2669,0.2015,0.0154,0.0086,0.0104,0.0064,0.053,0.0467
meta-llama/Llama-3.1-70B,scalar_implicature,first_person,0.5,0.1037,0.04,0.1093,0.0344,0.0233,0.021,0.0205,0.0186,0.0594,0.0789
meta-llama/Llama-3.1-70B,scalar_implicature,first_person,0.7,0.1037,0.04,0.1055,0.0385,0.0141,0.0132,0.0113,0.0103,0.038,0.0408
meta-llama/Llama-3.1-70B,scalar_implicature,first_person,0.9,0.1037,0.04,0.1044,0.0393,0.009,0.0086,0.006,0.0055,0.0303,0.0294
meta-llama/Llama-3.1-70B,scalar_implicature,second_person,0.5,0.1108,0.0375,0.1218,0.0351,0.0333,0.0227,0.0339,0.023,0.0424,0.0286
meta-llama/Llama-3.1-70B,scalar_implicature,second_person,0.7,0.1108,0.0375,0.1146,0.0368,0.023,0.0156,0.0185,0.0126,0.0424,0.0286
meta-llama/Llama-3.1-70B,scalar_implicature,second_person,0.9,0.1108,0.0375,0.1128,0.0372,0.0151,0.0103,0.0085,0.0058,0.0424,0.0286
meta-llama/Llama-3.1-70B,scalar_implicature,third_person,0.5,0.1162,0.0323,0.1186,0.0274,0.0121,0.0241,0.0083,0.0165,0.037,0.074
meta-llama/Llama-3.1-70B,scalar_implicature,third_person,0.7,0.1162,0.0323,0.117,0.0306,0.0064,0.0128,0.0047,0.0093,0.037,0.074
meta-llama/Llama-3.1-70B,scalar_implicature,third_person,0.9,0.1162,0.0323,0.1165,0.0317,0.0035,0.007,0.0031,0.0061,0.0198,0.0396
