omega_i,alpha,mean_js
0.0,1.0,0.3958645352590491
0.0,3.0,0.45819165214573826
0.0,5.0,0.5133068490008722
0.1,1.0,0.3777643292232351
0.1,3.0,0.40037605665820897
0.1,5.0,0.43037379282103355
0.2,1.0,0.36200507181132824
0.2,3.0,0.3518542086742435
0.2,5.0,0.3512948307568123
0.3,1.0,0.35011700269072604
0.3,3.0,0.32206566411756493
0.3,5.0,0.32099781305803415
0.4,1.0,0.3437882083736127
0.4,3.0,0.2998869216586633
0.4,5.0,0.2927832886275644
0.5,1.0,0.34384226986107264
0.5,3.0,0.29543957705270346
0.5,5.0,0.27698969806737905
0.6,1.0,0.34911353157007535
0.6,3.0,0.30323234692121653
0.6,5.0,0.2879254850365028
0.7,1.0,0.3570974218934257
0.7,3.0,0.3129830422440479
0.7,5.0,0.2991609826490495
0.8,1.0,0.36567813586528114
0.8,3.0,0.3243902340109061
0.8,5.0,0.31132167656249804
0.9,1.0,0.37386820255054776
0.9,3.0,0.3377135148347791
0.9,5.0,0.3264134910906733
1.0,1.0,0.38149708910633623
1.0,3.0,0.3528910218984243
1.0,5.0,0.3456147195075288
